archivo,carpeta,estado,palabras,tiene_yaml,tipo_nota,tipo_valido,campos_ok_count,campos_faltantes_count,campos_faltantes,campos_alias,problemas
06_Fuentes_Financiamiento\Embajada-Canada-CFLI.md,06_Fuentes_Financiamiento,ERROR,967,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\Embajada-Japon-GGP.md,06_Fuentes_Financiamiento,ERROR,1159,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\Ford-Foundation.md,06_Fuentes_Financiamiento,ERROR,1027,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\GCF-Fondo-Verde-Clima.md,06_Fuentes_Financiamiento,ERROR,916,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\GEF-SGP-Pequenas-Donaciones.md,06_Fuentes_Financiamiento,ERROR,961,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\GIZ-Cooperacion-Alemana.md,06_Fuentes_Financiamiento,WARN,1048,True,fondo,True,6,2,territorio | dimension_tgi,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan: territorio, dimension_tgi | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\NED-Democracia-Sociedad-Civil.md,06_Fuentes_Financiamiento,ERROR,972,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\Open-Society-Foundations.md,06_Fuentes_Financiamiento,ERROR,1052,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\PNUD-Desarrollo-Local.md,06_Fuentes_Financiamiento,ERROR,715,True,fondo,True,5,3,territorio | dimension_tgi | estado,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan 3 campos: territorio, dimension_tgi, estado | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
06_Fuentes_Financiamiento\USAID-Gobernanza-Inclusion.md,06_Fuentes_Financiamiento,WARN,1065,True,fondo,True,6,2,territorio | dimension_tgi,etiquetas→tags | fecha_creacion→fecha | gold_master→fuente_canonica,"Faltan: territorio, dimension_tgi | Aliases no canónicos: etiquetas→tags, fecha_creacion→fecha, gold_master→fuente_canonica"
