FILA en H03;ID nuevo;Eje;Promesa REAL del Plan CNE;>> Meta PDOT (D);>> Score (E);>> Tipo vinculacion (F)
82;TE-007;Territorial;Elaboración de un inventario de las vías del cantón Montecristi;;;
83;TE-008;Territorial;Gestionar y planificar el reordenamiento Vial;;;
84;TE-009;Territorial;Gestión para la implementación de un Nuevo Terminal;;;
85;TE-010;Territorial;Gestión para la construcción de un camal;;;
86;TE-011;Territorial;Estudios técnicos y de impacto ambiental para la construcción de un cementerio para la Parroquia Leónidas Proaño.;;;
87;TE-012;Territorial;Realizar los estudios técnicos y de impacto ambiental para la construcción de un nuevo cementerio general de Montecristi;;;
88;TE-013;Territorial;Mantenimiento de los Cementerios Municipales.;;;
89;TE-014;Territorial;Aumentar la cobertura cantonal de los servicios de agua potable;;;
90;TE-015;Territorial;Ampliar la cobertura de los tanques de reservorios de la planta potabilizadora de agua;;;
91;TE-016;Territorial;Gestión para construcción de pozos acuíferos para suministrar agua de consumo para el sector rural y para ejecutar proye;;;
92;TE-017;Territorial;Implementar un macro medidor en la toma de agua Los Mangos y un sistema de control eficaz para transparentar la comercia;;;
93;TE-018;Territorial;Gestión para la construcción de varios reservorios de agua para los sectores rurales del cantón;;;

--- REFERENCIA: sus 20 vinculaciones anteriores (para reutilizar la meta donde aplique) ---
ID viejo;Promesa (canon anterior);Meta PDOT;Score;Tipo
EC-001;"Convertir a Montecristi en destino turístico nacional/internacional; rutas gastronómicas, ecoturísticas, event";EP-L-X-01;1;Directa
EC-002;"Fomento al sector artesanal, MIPYMES y emprendedores; programa Ka-Larte es por Ti; Cuna de Emprendedores";EP-L-N-01;1;Directa
EC-003;Gestión para repotenciar y ordenar el mercado municipal;PI-I-G-01;0.75;Directa con matiz
EC-004;"Impulsar desarrollo turístico Playa San José e Isla de la Plata; manglar; Paseo Lúdico";EP-L-X-01;0.5;Parcial
EC-005;"Generación de ordenanzas para exoneración de tributos a nuevas empresas; alianzas sector privado";—;0;Sin vínculo
IN-001;"Elaborar PDOT 2023 con ODS; planificación territorial 30 años; Plan Bicentenario";PI-I-G-02;1;Directa
IN-002;"Actualización catastral urbana y rural; base de datos grupos vulnerables; registro y delimitación comunal";AH-C-X-02;1;Directa
IN-003;"Transformación digital del GAD; plataforma digital de trámites; gobierno electrónico abierto";AH-C-X-02;0.75;Directa con matiz
IN-004;"Acceso a información pública (LOTAIP); rendición de cuentas transparente; convenios interinstitucionales";PI-L-G-01;1;Directa
IN-005;Seguridad ciudadana: alarmas comunitarias, habilitación UPC Aníbal San Andrés y Colorado, cuarteles bomberos;PI-I-G-01;0.5;Parcial
IN-006;"Creación y fortalecimiento de marca ciudad Montecristi; posicionamiento nacional como referente";—;0;Sin vínculo
SC-001;"Construcción Centro de Salud Tipo C; Centro Geriátrico; Plan Nacer Aquí; Concejo de Salud Montecristi";AH-I-X-03;1;Directa
SC-002;"Salud integral gratuita e ininterrumpida; clubes de salud; medicina preventiva; atención puerta a puerta";SC-I-N-01;1;Directa
SC-003;Mejorar calidad de vida fauna urbana: albergue, programas de esterilización, ordenanza de protección animal;FA-L-N-01;0.75;Directa con matiz
SC-004;"Capacitaciones ciudadanas con certificación; plataforma digital; Cuna de Emprendedores; becas universitarias";SC-L-N-02;0.75;Directa con matiz
SC-005;"Participación ciudadana activa; instancias participativas barriales; liderazgo juvenil en política cantonal";PI-L-G-01;1;Directa
SC-006;"Espacios de recreación deportivos, culturales y sociales; wifi en parques y plazas públicas";AH-I-N-01;0.75;Directa con matiz
SC-007;Protección especial a grupos vulnerables: niñez, adolescentes, adultos mayores, discapacidad, género;AH-C-X-01;1;Directa
SC-008;"Programa de becas estudiantiles para educación superior; convenios con universidades; investigación cantonal";SC-L-N-02;0.5;Parcial
SC-009;"Mejorar infraestructura de unidades educativas del cantón; mobiliario y equipamiento";PI-I-G-01;0.5;Parcial
