"id";"poblacion";"numeral";"parrafo";"tipo_PROPUESTO";"verbo_disparador";"exigible_PROPUESTO";"n_subreq";"subrequisitos";"TIPO_VALIDADO";"EXIGIBLE_VALIDADO";"OBSERVACION_JURIDICA";"texto_normativo_completo"
"C10-G06";"ORIENTACION_no_exigible";"10";"447";"G_orientacion_no_exigible";"podra";"no";"0";"";"";"";"";"En el enlace del estado de avance del plan, programa o proyecto se podrá cumplir mediante la descripción de información que refleje los niveles de ejecución."
"C11-B01";"CANDIDATA_a_exigibilidad";"11";"454";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Para los créditos externos e internos, se considerará la información que refleje las operaciones crediticias internacionales y nacionales que se encuentran vigentes."
"C11-B02";"CANDIDATA_a_exigibilidad";"11";"455";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Los créditos externos se refieren a aquellos que son financiados por organismos internacionales tales como BID, CAF, Banco Mundial, FMI, entre otras."
"C11-B03";"CANDIDATA_a_exigibilidad";"11";"456";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"De igual forma, los créditos internos se refieren a aquellos que son financiados por instituciones crediticias nacionales como Banco de Desarrollo del Ecuador, BanEcuador, Ministerio de Finanzas, etc."
"C11-A04";"CANDIDATA_a_exigibilidad";"11";"460";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"Para cumplir con lo dispuesto en el presente artículo, se registrará la información en el formato del conjunto de datos como se describe a continuación:"
"C12-B01";"CANDIDATA_a_exigibilidad";"12";"484";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Para los mecanismos de rendición de cuentas se asegurará registrar la información relacionada con el formulario del informe de rendición de cuentas presentado al Consejo de Participación Ciudadana y Control Social (CPCCS) del ejercicio fiscal anterior; el certificado y reportes de los literales a), b), c) y d) del informe anual sobre el cumplimiento del derecho"
"C12-B02";"FRAGMENTO_no_es_condicion";"12";"488";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"humano de acceso a la información pública del ejercicio fiscal anterior presentado a la Defensoría del Pueblo, a través de la herramienta tecnológica defensorial. Respecto al literal"
"C12-A03";"FRAGMENTO_no_es_condicion";"12";"489";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"c) se obtendrá el certificado de cumplimiento y el reporte correspondiente al primer semestre; y, para el segundo semestre se obtendrá el reporte del literal c) en referencia con lo que se cumplirá el literal d) del citado artículo 11 de la LOTAIP. Para registrar la información antes descrita en el formato del conjunto de datos se procederá con los siguientes contenidos:"
"C12-B04";"CANDIDATA_a_exigibilidad";"12";"496";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Así también, es obligatorio para todos los sujetos obligados garantizar el acceso a los informes anuales consolidados nacionales sobre el derecho humano de acceso a la información pública, según disposiciones de la LOTAIP desde el enlace del sitio web de la Defensoría del Pueblo: https://www.dpe.gob.ec/cumplimiento-lotaip/"
"C13-A01";"CANDIDATA_a_exigibilidad";"13";"502";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"Los viáticos, informes de trabajo y justificativos de movilización nacional e internacional, deberán cumplir con los contenidos que se describen a continuación en el formato del conjunto de datos:"
"C13-B02";"CANDIDATA_a_exigibilidad";"13";"518";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Los nombres y apellidos de las personas servidoras públicas se describirán conservando el orden alfabético, de tal manera que se facilite la búsqueda de información por parte de las personas que la usarán."
"C13-B03";"CANDIDATA_a_exigibilidad";"13";"519";"B_exigencia_material";"debera";"si";"0";"";"";"";"";"El informe de actividades y productos alcanzados deberá estar acompañado de la solicitud de viáticos de tal manera que se muestre la información completa sobre los antecedentes que motivan la movilización nacional o internacional."
"C13-B04";"CANDIDATA_a_exigibilidad";"13";"520";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Los justificativos de las movilizaciones para cumplir actividades institucionales, descargará el expediente completo que contenga la documentación organizada de los viáticos nacionales e internacionales, con el propósito de que se visualice todo el proceso de aprobación, específicamente aquellos que no pueden faltar y que son: facturas de hospedaje, alimentación y otros, además de los pases a bordo si la movilización se realiza en transporte aéreo; copia de los pasajes terrestres de ser el caso y salvoconducto si la movilización se realiza en vehículo institucional."
"C13-B05";"CANDIDATA_a_exigibilidad";"13";"521";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Para el caso de los justificativos de los viáticos internacionales se contará con los documentos que acrediten invitaciones o convocatorias a reuniones y/o actos oficiales de las que la entidad, a través de su máxima autoridad o a quien se delegue para el efecto y asista ya sea con recursos institucionales o financiados por los organismos convocantes."
"C14-A01";"CANDIDATA_a_exigibilidad";"14";"528";"A_exigencia_estructural";"formato del conjunto de datos";"si";"0";"";"";"";"";"Para el contenido de las personas responsables del acceso a la información pública, se registrará la información que se describe en el formato del conjunto de datos manteniendo el orden correspondiente:"
"C14-B02";"CANDIDATA_a_exigibilidad";"14";"542";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Para el cumplimiento del presente artículo, es indispensable que se describa la información de la máxima autoridad institucional, así como de la persona que preside el comité de transparencia que constará en el acuerdo o resolución emitida para tal propósito; y, de ser el caso, para entidades que cuentan con procesos desconcentrados a través de acto administrativo, de las personas representantes en territorio que hayan sido delegadas para responder las solicitudes de acceso a la información pública."
"C14-B03";"CANDIDATA_a_exigibilidad";"14";"543";"B_exigencia_material";"(sin indicio verbal · revisar a mano)";"si";"0";"";"";"";"";"Para las entidades en las que se haya nombrado un Oficial de Transparencia conforme el procedimiento establecido en el artículo 7 del Reglamento General de la LOTAIP, se registran los datos de la máxima autoridad y de la persona designada como Oficial de Transparencia."
